CustomerID,Gender_x,Age_x,Annual Income (k$)_x,Spending Score (1-100)_x,Gender_y,Age_y,Annual Income (k$)_y,Spending Score (1-100)_y,Sales Amount (k$),Purchase Frequency,Product Category,Date of Last Purchase
1.0,Female,19.0,15.0,39.0,Female,41.0,32.0,77.0,95.44,5.0,Home & Kitchen,2024-08-01 11:59:39.057169
2.0,Male,38.93969849246231,15.0,81.0,Female,31.0,114.0,3.0,93.22,7.0,Electronics,2024-10-17 11:59:39.057179
3.0,Female,20.0,16.0,6.0,Male,26.0,30.0,51.0,45.56,1.0,Beauty,2024-03-14 11:59:39.057181
4.0,Female,23.0,16.0,77.0,Male,45.0,53.0,10.0,42.52,4.0,Home & Kitchen,2024-06-19 11:59:39.057183
5.0,Female,31.0,17.0,40.0,Female,43.0,68.0,90.0,20.45,1.0,Home & Kitchen,2024-07-27 11:59:39.057185
6.0,Female,22.0,17.0,76.0,Male,47.0,94.0,10.0,10.34,6.0,Clothing,2024-04-17 11:59:39.057187
7.0,Female,35.0,18.0,6.0,Female,57.0,102.0,17.0,34.33,12.0,Electronics,2024-09-30 11:59:39.057188
8.0,Female,23.0,18.0,94.0,Male,63.0,62.0,54.0,67.63,12.0,Beauty,2024-05-02 11:59:39.057191
9.0,Male,64.0,19.0,3.0,Male,43.0,72.0,39.0,36.33,4.0,Sports,2024-09-13 11:59:39.057193
10.0,Female,30.0,19.0,72.0,Female,34.0,38.0,71.0,91.07,6.0,Beauty,2024-08-30 11:59:39.057195
11.0,Male,67.0,19.0,14.0,Female,42.0,93.0,54.0,22.66,8.0,Beauty,2024-10-19 11:59:39.057197
12.0,Female,35.0,19.0,99.0,Female,60.0,63.0,95.0,61.56,11.0,Clothing,2024-05-06 11:59:39.057198
13.0,Female,58.0,20.0,15.0,Male,63.0,68.0,19.0,27.21,12.0,Beauty,2024-10-22 11:59:39.057200
14.0,Female,24.0,20.0,77.0,Female,60.0,82.0,76.0,49.06,6.603015075376884,Electronics,2024-08-03 11:59:39.057201
